Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Trail Running,2024-07-25 05:55:29,false,"Howard County Trail Running","5.96","654","00:51:29","160","180","174","185","8:38","6:48","1,266","1,289","1.07","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:07:14.6","6","89.6","00:51:17","00:52:07","285","525"
Trail Running,2024-07-24 06:07:22,false,"Howard County Trail Running","6.57","678","00:55:49","157","181","173","193","8:29","6:04","728","827","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:04:31.0","7","89.6","00:55:35","00:58:40","243","488"
Trail Running,2024-07-23 06:03:38,false,"Howard County Trail Running","7.16","844","01:05:23","164","186","169","216","9:08","7:55","541","581","1.05","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","75.2","No","00:01:25.0","8","89.6","01:05:16","01:08:14","293","529"
Trail Running,2024-07-22 06:30:37,false,"Howard County Trail Running","7.34","809","01:04:46","160","183","172","191","8:50","6:32","531","571","1.06","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:02:24.6","8","87.8","01:04:37","01:05:17","295","495"
Trail Running,2024-07-21 07:37:49,false,"Howard County Trail Running","8.14","1,021","01:19:11","164","186","165","182","9:44","8:00","1,821","1,860","1.00","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:01:10.7","9","91.4","01:19:09","01:19:33","295","599"
Trail Running,2024-07-20 07:14:16,false,"Howard County Trail Running","8.32","953","01:14:09","162","182","166","191","8:55","6:40","367","387","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:02:20.0","9","87.8","01:14:05","01:14:12","291","488"
Trail Running,2024-07-19 06:45:25,false,"Howard County Trail Running","11.01","1,166","01:36:24","157","176","165","185","8:46","7:22","486","561","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","73.4","No","00:00:02.4","12","87.8","01:36:14","01:39:56","242","486"
Trail Running,2024-07-18 12:01:44,false,"Prince George's County Trail Running","1.74","149","00:25:40","102","111","115","232","14:44","12:57","259","85","0.95","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:11:00","2","95.0","00:25:40","00:28:38","217","293"
Trail Running,2024-07-18 05:51:41,false,"Howard County Trail Running","6.07","728","00:58:11","160","178","164","183","9:35","7:54","738","823","1.02","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:00:32.6","7","91.4","00:58:05","00:58:12","255","484"
Trail Running,2024-07-17 06:08:07,false,"Howard County Trail Running","6.01","714","00:57:35","159","178","164","181","9:35","8:09","272","315","1.03","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:00:02.5","7","89.6","00:57:31","00:57:40","298","470"
Trail Running,2024-07-16 06:04:23,false,"Howard County Trail Running","7.10","835","01:06:23","160","178","161","231","9:21","7:50","761","571","1.07","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:00:49.7","8","87.8","01:06:20","01:09:37","282","662"
Trail Running,2024-07-15 06:09:20,false,"Howard County Trail Running","7.64","880","01:13:29","156","181","161","183","9:37","8:04","1,047","935","1.04","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:05:55.2","8","87.8","01:13:27","01:14:01","302","623"
Trail Running,2024-07-14 08:38:43,false,"Howard County Trail Running","8.01","960","01:15:36","162","183","159","197","9:27","7:45","1,348","1,335","1.07","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","86.0","No","00:00:02.8","9","89.6","01:15:26","01:20:12","217","509"
Trail Running,2024-07-13 08:42:03,false,"Howard County Trail Running","14.00","1,597","02:08:51","160","175","160","181","9:12","7:10","1,381","1,483","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:00:01.8","15","89.6","02:08:37","02:13:11","210","480"
Trail Running,2024-07-12 06:13:00,false,"Howard County Trail Running","8.01","951","01:15:29","161","181","162","184","9:25","7:49","344","413","1.05","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:00:12.0","9","89.6","01:15:22","01:17:56","250","477"
Treadmill Running,2024-07-11 21:14:08,false,"Treadmill Running","2.60","284","00:24:29","152","168","153","167","9:24","8:27","--","--","1.12","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:05:40.3","3","87.8","00:24:13","00:24:29","--","--"
Trail Running,2024-07-11 05:52:05,false,"Howard County Trail Running","5.06","586","00:48:48","156","176","163","179","9:39","7:59","443","535","1.03","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:00:29.0","6","91.4","00:48:43","00:49:09","237","486"
Trail Running,2024-07-10 21:20:42,false,"Howard County Trail Running","3.18","376","00:30:22","158","182","159","171","9:33","8:32","276","351","1.06","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:01:53.7","4","89.6","00:30:19","00:32:02","301","428"
Trail Running,2024-07-10 05:57:10,false,"Howard County Trail Running","4.03","456","00:37:07","159","181","160","173","9:13","8:09","230","322","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:00:14.3","5","91.4","00:37:05","00:37:07","294","428"
Trail Running,2024-07-10 05:56:41,false,"Howard County Trail Running","0.00","--","00:00:01.4","100","100","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","91.4","No","00:00:01.4","1","91.4","00:00:00","00:00:01.4","428","428"
Trail Running,2024-07-09 17:03:38,false,"Howard County Trail Running","6.15","659","00:54:40","157","174","158","173","8:54","6:06","269","272","1.15","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","86.0","No","00:01:07.5","7","89.6","00:54:34","00:57:11","325","486"
Treadmill Running,2024-07-09 07:06:42,false,"Treadmill Running","4.31","463","00:41:24","147","173","152","181","9:36","8:33","--","--","1.10","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:03:23.1","5","89.6","00:41:03","00:43:07","--","--"
Trail Running,2024-07-08 07:06:51,false,"Howard County Trail Running","5.05","593","00:46:50","161","173","161","179","9:17","7:59","833","807","1.08","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:00:22.9","6","89.6","00:46:49","00:48:54","253","502"
Treadmill Running,2024-07-07 08:40:21,false,"Treadmill Running","6.49","809","01:05:54","158","180","153","216","10:09","7:30","--","--","1.04","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:04:36.7","7","86.0","01:05:46","01:13:32","--","--"
Trail Running,2024-07-06 09:36:06,false,"Howard County Trail Running","8.01","922","01:14:06","160","178","157","228","9:15","7:07","420","446","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","86.0","No","00:00:02.1","9","91.4","01:13:52","01:24:29","291","530"
Trail Running,2024-07-05 07:04:04,false,"Howard County Trail Running","4.06","477","00:39:12","156","181","160","175","9:40","8:11","194","233","1.04","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:00:32.3","5","87.8","00:39:11","00:39:12","367","476"
Trail Running,2024-07-04 08:43:31,false,"Howard County Trail Running","10.47","1,142","01:31:11","160","182","162","203","8:43","6:17","476","453","1.14","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:03:49.9","11","89.6","01:30:56","01:39:03","268","493"
Trail Running,2024-07-03 06:48:44,false,"Howard County Trail Running","5.06","559","00:44:47","159","179","163","179","8:51","6:42","269","312","1.12","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:00:26.1","6","84.2","00:44:41","00:44:47","300","480"
Treadmill Running,2024-07-02 06:49:30,false,"Treadmill Running","5.01","615","00:49:52","159","181","147","181","9:57","8:02","--","--","1.10","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:00:06.3","6","86.0","00:48:27","00:53:16","--","--"
Trail Running,2024-07-01 06:32:33,false,"Howard County Trail Running","6.02","728","00:56:27","162","183","161","177","9:23","7:56","249","331","1.07","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","66.2","No","00:00:09.6","7","86.0","00:56:24","00:56:58","276","484"
Treadmill Running,2024-06-30 07:45:06,false,"Treadmill Running","4.01","453","00:37:12","156","177","153","166","9:17","7:59","--","--","1.13","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:00:03.9","5","86.0","00:37:11","00:37:12","--","--"
Trail Running,2024-06-29 17:04:09,false,"Howard County Trail Running","8.02","920","01:15:26","157","176","159","223","9:24","7:49","354","387","1.08","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","87.8","No","00:00:10.2","9","91.4","01:15:21","01:17:39","298","496"
Trail Running,2024-06-28 19:58:15,false,"Howard County Trail Running","5.17","598","00:48:42","158","175","159","175","9:25","7:58","279","318","1.07","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:01:50.5","6","86.0","00:47:26","00:49:26","317","490"
Trail Running,2024-06-28 06:00:27,false,"Howard County Trail Running","5.02","620","00:47:30","164","180","160","179","9:28","7:36","246","318","1.06","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","73.4","No","00:00:07.8","6","91.4","00:47:28","00:47:40","326","490"
Trail Running,2024-06-27 06:06:00,false,"Howard County Trail Running","4.03","491","00:39:17","160","183","159","173","9:44","8:09","213","282","1.04","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","75.2","No","00:00:16.9","5","89.6","00:39:13","00:39:44","323","472"
Trail Running,2024-06-26 06:02:35,false,"Howard County Trail Running","5.00","616","00:48:19","162","181","161","183","9:39","7:53","266","361","1.04","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:00:02.2","6","91.4","00:48:16","00:48:19","262","483"
Trail Running,2024-06-25 05:55:46,false,"Howard County Trail Running","5.08","614","00:49:09","159","182","160","177","9:41","7:56","262","289","1.04","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","66.2","No","00:00:36.4","6","91.4","00:49:01","00:50:21","330","501"
Trail Running,2024-06-24 05:57:35,false,"Howard County Trail Running","6.01","705","00:54:46","162","179","160","178","9:07","7:46","299","354","1.10","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:00:02.4","7","89.6","00:54:38","00:54:46","299","483"
Trail Running,2024-06-23 18:12:34,false,"Howard County Trail Running","2.01","198","00:28:34","109","149","101","246","14:13","6:53","387","499","1.13","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","89.6","No","00:00:07.2","3","95.0","00:28:32","00:28:34","305","419"
Trail Running,2024-06-22 19:46:15,false,"Howard County Trail Running","5.62","670","00:53:14","160","181","156","223","9:29","7:17","266","325","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","89.6","No","00:05:38.8","6","93.2","00:52:58","00:56:25","310","484"
Trail Running,2024-06-21 19:47:03,false,"Howard County Trail Running","6.33","766","00:59:10","163","180","158","177","9:21","7:39","262","322","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","87.8","No","00:02:49.0","7","91.4","00:59:05","01:01:26","301","487"
Trail Running,2024-06-21 06:06:15,false,"Howard County Trail Running","5.46","623","00:49:29","160","179","161","183","9:04","7:09","289","322","1.10","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:03:55.3","6","86.0","00:49:25","00:49:35","310","479"
Trail Running,2024-06-20 05:55:47,false,"Howard County Trail Running","4.01","478","00:37:59","160","176","160","176","9:29","8:00","210","269","1.06","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","73.4","No","00:00:02.1","5","87.8","00:37:54","00:37:59","339","482"
Trail Running,2024-06-19 07:51:04,false,"Howard County Trail Running","8.34","898","01:12:36","159","180","160","231","8:42","7:16","351","417","1.15","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:03:00.6","9","87.8","01:12:29","01:15:14","252","471"
Trail Running,2024-06-18 05:50:52,false,"Howard County Trail Running","4.04","497","00:39:35","160","177","161","181","9:47","7:54","197","230","1.02","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","75.2","No","00:00:23.4","5","87.8","00:39:33","00:39:41","367","485"
Trail Running,2024-06-17 05:39:58,false,"Howard County Trail Running","5.16","597","00:46:44","162","186","161","179","9:03","6:45","262","302","1.10","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","75.2","No","00:01:23.3","6","89.6","00:46:40","00:46:53","327","488"
Trail Running,2024-06-16 07:18:13,false,"Howard County Trail Running","4.57","512","00:41:36","157","179","162","235","9:07","7:51","223","272","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","68.0","No","00:04:50.1","5","84.2","00:41:34","00:44:04","318","497"
Trail Running,2024-06-15 07:47:00,false,"Howard County Trail Running","5.54","646","00:50:55","160","178","161","181","9:12","7:49","259","331","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","73.4","No","00:04:47.9","6","87.8","00:50:54","00:52:40","315","486"
Trail Running,2024-06-14 09:05:24,false,"Howard County Trail Running","0.00","--","00:00:01.3","120","120","112","113","11:10","18:19","--","--","1.29","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","86.0","No","00:00:01.3","1","86.0","00:00:01","00:00:01.3","400","400"
Trail Running,2024-06-14 06:55:57,false,"Howard County Trail Running","12.01","1,225","01:48:09","155","180","160","231","9:00","6:32","568","610","1.12","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","75.2","No","00:00:03.1","13","87.8","01:48:00","02:07:18","228","490"
Treadmill Running,2024-06-13 06:08:35,false,"Treadmill Running","3.69","429","00:34:12","160","177","153","166","9:16","8:09","--","--","1.14","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:06:18.0","4","86.0","00:34:11","00:39:09","--","--"
Trail Running,2024-06-12 07:12:12,false,"Howard County Trail Running","5.01","515","00:44:09","153","175","160","236","8:49","6:20","522","741","1.14","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:00:02.5","6","86.0","00:44:03","00:46:44","188","492"
Trail Running,2024-06-11 06:59:18,false,"Howard County Trail Running","5.35","611","00:47:17","163","183","162","177","8:51","7:05","279","322","1.12","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","66.2","No","00:02:46.1","6","87.8","00:47:16","00:48:09","304","484"
Trail Running,2024-06-10 12:18:49,false,"Howard County Trail Running","5.00","538","00:42:27","162","185","158","175","8:29","7:27","240","312","1.20","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:00:01.0","6","86.0","00:42:23","00:47:02","328","491"
Trail Running,2024-06-09 07:14:03,false,"Howard County Trail Running","4.00","500","00:39:14","162","181","162","222","9:48","7:51","171","213","1.01","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:00:02.3","5","87.8","00:39:10","00:41:43","371","490"
Trail Running,2024-06-08 19:05:06,false,"Howard County Trail Running","0.33","39","00:06:58.6","97","104","95","119","21:08","16:26","30","7","0.80","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","89.6","No","00:06:58.6","1","93.2","00:06:35","00:06:58.6","340","365"
Trail Running,2024-06-08 11:44:56,false,"Howard County Trail Running","4.10","442","00:37:32","152","174","158","179","9:09","7:41","220","184","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:00:48.4","5","86.0","00:37:20","00:50:49","333","500"
Trail Running,2024-06-07 06:58:51,false,"Howard County Trail Running","11.01","1,202","01:40:25","156","172","159","217","9:07","7:18","486","538","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","73.4","No","00:00:02.6","12","87.8","01:40:10","01:45:07","225","489"
Treadmill Running,2024-06-06 06:10:32,false,"Treadmill Running","3.57","392","00:33:00","154","170","150","162","9:14","8:24","--","--","1.16","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:05:17.6","4","87.8","00:32:53","00:37:38","--","--"
Trail Running,2024-06-05 06:30:24,false,"Howard County Trail Running","5.01","518","00:43:45","153","180","159","193","8:44","5:36","203","305","1.16","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:00:03.2","6","87.8","00:43:40","00:53:27","304","486"
Treadmill Running,2024-06-04 05:59:53,false,"Treadmill Running","3.25","355","00:28:53","158","183","156","168","8:53","7:07","--","--","1.16","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:02:10.5","4","87.8","00:28:45","00:30:31","--","--"
Trail Running,2024-06-03 12:10:40,false,"Howard County Trail Running","5.59","546","00:45:22","155","181","163","187","8:07","6:22","253","262","1.22","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:04:42.1","6","89.6","00:45:18","00:47:04","321","495"
Trail Running,2024-06-01 07:28:09,false,"Howard County Trail Running","4.00","467","00:37:21","158","176","159","174","9:20","7:59","226","243","1.08","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","66.2","No","00:00:01.4","5","84.2","00:37:20","00:37:21","373","497"
Trail Running,2024-05-31 07:18:38,false,"Howard County Trail Running","9.82","1,181","01:34:07","160","178","158","213","9:35","6:21","456","531","1.06","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","62.6","No","00:07:54.5","10","82.4","01:34:03","01:40:59","234","487"
Trail Running,2024-05-30 12:22:53,false,"Prince George's County Trail Running","4.01","391","00:30:59","160","178","161","183","7:44","5:31","305","312","1.29","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:00:02.8","5","86.0","00:30:56","00:30:59","126","225"
Trail Running,2024-05-30 12:20:50,false,"Prince George's County Trail Running","0.00","2","00:00:24.8","117","130","33","135","--","19:10","--","--","0.12","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:00:24.8","1","84.2","00:00:00","00:00:24.8","203","209"
Trail Running,2024-05-28 18:35:01,false,"Howard County Trail Running","5.44","554","00:47:22","151","170","157","177","8:43","7:10","233","318","1.18","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:03:41.0","6","87.8","00:47:10","00:52:33","127","486"
Trail Running,2024-05-25 06:49:40,false,"Howard County Trail Running","2.95","299","00:30:41","136","172","151","188","10:25","6:42","161","200","1.02","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:08:23.6","3","87.8","00:30:39","00:37:22","333","487"
Trail Running,2024-05-24 06:40:45,false,"Howard County Trail Running","10.00","1,089","01:28:16","159","182","165","185","8:49","6:33","505","522","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:00:02.3","11","86.0","01:28:06","01:29:39","242","480"
Trail Running,2024-05-23 06:23:32,false,"Howard County Trail Running","4.01","509","00:40:30","159","176","159","173","10:07","8:35","180","243","1.00","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:00:03.3","5","89.6","00:40:27","00:42:48","380","493"
Trail Running,2024-05-22 06:21:08,false,"Howard County Trail Running","5.00","554","00:44:38","158","188","164","238","8:55","7:01","243","302","1.10","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","68.0","No","00:00:01.4","6","86.0","00:44:24","00:46:16","304","484"
Trail Running,2024-05-21 06:45:11,false,"Howard County Trail Running","5.02","544","00:43:46","157","178","166","190","8:43","5:56","289","295","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","66.2","No","00:00:09.9","6","82.4","00:43:46","00:44:41","308","488"
Treadmill Running,2024-05-20 14:51:32,false,"Treadmill Running","4.49","481","00:41:32","152","170","152","166","9:16","8:11","--","--","1.15","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:04:32.7","5","89.6","00:41:31","00:46:43","--","--"
Trail Running,2024-05-19 15:12:20,false,"Howard County Trail Running","6.01","641","00:51:46","157","179","161","181","8:37","6:42","299","305","1.16","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","73.4","No","00:00:02.1","7","84.2","00:51:38","00:52:43","315","495"
Treadmill Running,2024-05-18 08:02:24,false,"Treadmill Running","3.77","406","00:33:52","154","172","155","164","8:59","7:56","--","--","1.16","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:07:05.2","4","86.0","00:33:52","00:34:52","--","--"
Trail Running,2024-05-17 07:18:24,false,"Howard County Trail Running","10.00","1,106","01:28:01","159","175","159","182","8:48","6:25","453","564","1.15","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","68.0","No","00:00:02.4","11","86.0","01:27:48","01:33:56","250","485"
Treadmill Running,2024-05-16 06:28:54,false,"Treadmill Running","4.31","428","00:40:04","140","167","152","170","9:18","7:41","--","--","1.14","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:02:47.0","5","87.8","00:40:02","00:47:17","--","--"
Treadmill Running,2024-05-15 14:02:37,false,"Treadmill Running","5.17","557","00:44:36","157","176","158","170","8:38","7:41","--","--","1.18","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:01:36.5","6","84.2","00:44:34","00:48:10","--","--"
Treadmill Running,2024-05-14 18:33:53,false,"Treadmill Running","4.79","572","00:45:04","160","178","151","170","9:24","8:17","--","--","1.14","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:07:19.4","5","87.8","00:44:59","00:51:15","--","--"
Trail Running,2024-05-13 17:58:38,false,"Howard County Trail Running","6.01","604","00:49:59","155","174","158","220","8:19","6:40","243","312","1.23","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","75.2","No","00:00:02.4","7","86.0","00:49:49","00:53:53","-281","499"
Trail Running,2024-05-12 16:10:14,false,"Howard County Trail Running","9.21","1,034","01:19:11","163","182","158","208","8:36","6:29","394","515","1.18","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","66.2","No","00:01:29.7","10","80.6","01:18:58","01:24:22","251","491"
Treadmill Running,2024-05-10 12:25:31,false,"Treadmill Running","9.01","1,059","01:25:26","156","180","155","171","9:29","8:16","--","--","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:00:02.7","10","84.2","01:25:02","01:35:33","--","--"
Trail Running,2024-05-10 12:21:16,false,"Howard County Trail Running","0.01","--","00:00:06.2","82","83","43","152","13:33","5:52","--","--","2.75","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:00:06.2","1","80.6","00:00:03","00:00:06.2","427","428"
